"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"EEF1B2",9.49638271815785e-28,-0.392627295215631,0.348,0.627,1.97315840117884e-23,"Keratinocytes","EEF1B2"
"RNASE1.1",4.06609823854321e-27,0.34370612717813,0.7,0.597,8.44853892004509e-23,"Keratinocytes","RNASE1"
"RPL30",4.5327810955654e-27,-0.310387167418072,0.619,0.833,9.41821256036578e-23,"Keratinocytes","RPL30"
"NACA",1.1364907268522e-26,-0.374279873817366,0.435,0.711,2.36140043225351e-22,"Keratinocytes","NACA"
"CIRBP.1",1.80878445231958e-26,-0.375338498231503,0.267,0.555,3.75829233502963e-22,"Keratinocytes","CIRBP"
"TPI1",1.9218683024071e-26,-0.392036386511185,0.315,0.597,3.99325795874146e-22,"Keratinocytes","TPI1"
"MSMB.1",1.37575092033235e-25,0.365445609793541,0.663,0.484,2.85853526226655e-21,"Keratinocytes","MSMB"
"RPL4",1.61492767490289e-25,-0.356129040669146,0.444,0.694,3.35549672291323e-21,"Keratinocytes","RPL4"
"RPL10A",1.45445107246948e-24,-0.294978868409122,0.628,0.824,3.02205843837709e-20,"Keratinocytes","RPL10A"
"EEF2",3.24660670470639e-24,-0.352371091552818,0.431,0.696,6.74579941103893e-20,"Keratinocytes","EEF2"
"CYBA.1",2.737644716166e-23,-0.378970456037782,0.363,0.633,5.68827819124971e-19,"Keratinocytes","CYBA"
"GAST",2.94273825791636e-23,0.288256322619931,0.81,0.612,6.11442155229861e-19,"Keratinocytes","GAST"
"JUNB.1",1.41907985004732e-22,-0.385232313347099,0.396,0.64,2.94856411242833e-18,"Keratinocytes","JUNB"
"HLA-B.1",9.03851776846223e-22,-0.269112198421514,0.702,0.879,1.87802322193108e-17,"Keratinocytes","HLA-B"
"HLA-E.1",1.98412538826945e-21,-0.327129208636538,0.271,0.539,4.12261573174626e-17,"Keratinocytes","HLA-E"
"IER3.1",4.67953852263262e-21,0.277612878549269,0.696,0.635,9.72314514232606e-17,"Keratinocytes","IER3"
"RPL17",5.4913057749261e-21,-0.333366770605749,0.401,0.664,1.14098351391414e-16,"Keratinocytes","RPL17"
"PPIB",7.60902191777603e-21,-0.317857905956592,0.282,0.555,1.5810025740755e-16,"Keratinocytes","PPIB"
"HSPA8",2.05417823646567e-20,-0.341316930514474,0.346,0.611,4.26817153972836e-16,"Keratinocytes","HSPA8"
"GPX2.1",2.17391921050715e-20,0.285540914323074,0.65,0.561,4.51696933559175e-16,"Keratinocytes","GPX2"
"PSMA7",4.0824742362772e-20,-0.316505551200873,0.258,0.513,8.48256496813676e-16,"Keratinocytes","PSMA7"
"VSIG2.1",3.33062974005685e-19,0.282769488654556,0.621,0.553,6.92038247389012e-15,"Keratinocytes","VSIG2"
"EIF3K",5.88835499073899e-19,-0.31427575206255,0.287,0.55,1.22348239997575e-14,"Keratinocytes","EIF3K"
"TACSTD2.1",6.42102581506959e-19,0.304256454864113,0.602,0.498,1.33416074385516e-14,"Keratinocytes","TACSTD2"
"PGC.1",7.16073465133192e-19,0.263908207535684,0.818,0.688,1.48785744585375e-14,"Keratinocytes","PGC"
"RPL22",1.69038548830957e-17,-0.298145124573812,0.503,0.74,3.51228296760963e-13,"Keratinocytes","RPL22"
"COX5A.1",2.29971448021848e-17,-0.287582811984819,0.263,0.503,4.77834674699795e-13,"Keratinocytes","COX5A"
"PEBP1",2.71502836628368e-17,-0.298375721313017,0.297,0.526,5.64128593946423e-13,"Keratinocytes","PEBP1"
"RPL23",4.12961500403502e-17,-0.296195384378324,0.448,0.688,8.58051405538396e-13,"Keratinocytes","RPL23"
"NPC2",1.24930811637175e-16,-0.273239800898648,0.267,0.52,2.59581240419722e-12,"Keratinocytes","NPC2"
"S100A10.1",4.4715740573072e-16,-0.281193029485602,0.506,0.674,9.29103657627289e-12,"Keratinocytes","S100A10"
"UQCRB",5.52937827607464e-16,-0.29107055544226,0.366,0.597,1.14889421820279e-11,"Keratinocytes","UQCRB"
"KLF2.1",2.36784292109652e-15,0.321333724590691,0.525,0.442,4.91990402145436e-11,"Keratinocytes","KLF2"
"ATP5G3.1",2.46925435352453e-15,-0.285938273728903,0.352,0.575,5.13061669575327e-11,"Keratinocytes","ATP5G3"
"SLC25A3.1",2.8435622281041e-15,-0.277355754415259,0.328,0.552,5.90835359755471e-11,"Keratinocytes","SLC25A3"
"ADIRF.1",2.95715549479616e-15,-0.320500974362235,0.32,0.507,6.14437768708746e-11,"Keratinocytes","ADIRF"
"PPP1R15A",7.35507385780672e-15,-0.273110637139689,0.379,0.627,1.52823724617508e-10,"Keratinocytes","PPP1R15A"
"DNAJB1",2.6339266604821e-14,-0.268409862434921,0.298,0.516,5.4727728151497e-10,"Keratinocytes","DNAJB1"
"MT1G.1",2.47974174985389e-13,0.299984943406253,0.602,0.53,5.1524074078464e-09,"Keratinocytes","MT1G"
"MT1X.1",1.19686597691498e-11,0.285667095250544,0.538,0.485,2.48684812683395e-07,"Keratinocytes","MT1X"
"C1QA",0,2.20739190816577,0.962,0.012,0,"Macrophages","C1QA"
"C1QB",0,2.11554896433643,0.94,0.008,0,"Macrophages","C1QB"
"C1QC",0,2.06562685356362,0.924,0.008,0,"Macrophages","C1QC"
"TYROBP",0,1.97100641946261,0.94,0.019,0,"Macrophages","TYROBP"
"HLA-DPA1",0,1.94227368984466,0.935,0.1,0,"Macrophages","HLA-DPA1"
"FCER1G",0,1.84812455212837,0.897,0.018,0,"Macrophages","FCER1G"
"HLA-DQA1",0,1.79690808298176,0.87,0.023,0,"Macrophages","HLA-DQA1"
"AIF1",0,1.75852223968301,0.848,0.009,0,"Macrophages","AIF1"
"HLA-DQB1",0,1.68248172896569,0.853,0.093,0,"Macrophages","HLA-DQB1"
"CCL3",0,1.5528318580328,0.696,0.037,0,"Macrophages","CCL3"
"GPR183",0,1.53471017556155,0.777,0.04,0,"Macrophages","GPR183"
"MS4A6A",0,1.51744502044511,0.766,0.007,0,"Macrophages","MS4A6A"
"ACP5",0,1.34620824372461,0.69,0.054,0,"Macrophages","ACP5"
"LST1",0,1.29449551094438,0.685,0.009,0,"Macrophages","LST1"
"FGL2",0,1.28632871065678,0.696,0.021,0,"Macrophages","FGL2"
"LAPTM5",0,1.28505482597411,0.712,0.04,0,"Macrophages","LAPTM5"
"MS4A7",0,1.23278835881455,0.641,0.005,0,"Macrophages","MS4A7"
"DNASE1L3",0,1.20604904058072,0.56,0.005,0,"Macrophages","DNASE1L3"
"CD14",0,1.13848413218085,0.565,0.015,0,"Macrophages","CD14"
"HLA-DMB",0,1.11164804585569,0.565,0.028,0,"Macrophages","HLA-DMB"
"STAB1",0,1.10275314932148,0.576,0.005,0,"Macrophages","STAB1"
"RNASE6",0,1.0185095942763,0.538,0.012,0,"Macrophages","RNASE6"
"ITGB2",0,0.977649996113829,0.533,0.016,0,"Macrophages","ITGB2"
